logNo,date,slug,lines,len,images,hasNoise,fixed2129,reasons,title
"221338459414","2018-08-14","20180814-법인을-배우고-있다","2129","83850","34","true","true","noise-pattern|fixed-2129-lines","법인을 배우고 있다."
"221304297210","2018-06-22","20180622-한국만화-산업을-위해-반드시-성공해야하는-코믹스브이-2","2129","85541","41","true","true","noise-pattern|fixed-2129-lines","한국만화 산업을 위해 반드시 성공해야하는 코믹스브이 (2)"
"221304271596","2018-06-22","20180622-vrar이-어떻게-기존-플랫폼을-먹어치울것인가","2129","84628","39","true","true","noise-pattern|fixed-2129-lines","VR/AR이 어떻게 기존 플랫폼을 먹어치울것인가?"
"221296436425","2018-06-11","20180611-북미정상회담-트럼프와-김정은이-만난-역사적-현장을-vr로","2129","84390","37","true","true","noise-pattern|fixed-2129-lines","북미정상회담, 트럼프와 김정은이 만난 역사적 현장을 VR로!"
"221295473913","2018-06-10","20180610-한국만화-산업을-위해-반드시-성공해야하는-코믹스브이-1","2129","84347","34","true","true","noise-pattern|fixed-2129-lines","한국만화 산업을 위해 반드시 성공해야하는 코믹스브이 (1)"
"221284333965","2018-05-26","20180526-오큘러스고-리뷰와-vr웹툰-코믹스브이-추천","2129","84405","43","true","true","noise-pattern|fixed-2129-lines","오큘러스고 리뷰와  VR웹툰 코믹스브이 추천"
"221280219718","2018-05-20","20180520-밤토끼-주소","2129","83798","34","true","true","noise-pattern|fixed-2129-lines","밤토끼 주소"
"221279166724","2018-05-19","20180519-밤토끼-불법웹툰-옹호의-심각한-문제","2129","84167","34","true","true","noise-pattern|fixed-2129-lines","밤토끼, 불법웹툰 옹호의 심각한 문제"
"221270561955","2018-05-08","20180508-내가-왜-창업을-했을까","2129","84091","34","true","true","noise-pattern|fixed-2129-lines","내가 왜 창업을 했을까?"
"221268473732","2018-05-05","20180505-스타트업-생태계를-죽이는-가장-쉬운-방법-성과-언제-나와요","2129","84313","34","true","true","noise-pattern|fixed-2129-lines","스타트업 생태계를 죽이는 가장 쉬운 방법, 성과 언제 나와요?"
"221263732571","2018-04-29","20180429-간만에-소녀-그림","2129","84022","35","true","true","noise-pattern|fixed-2129-lines","간만에 소녀 그림"
"221263647123","2018-04-28","20180428-427-남북정상회담-세대-교체가-이루어지는-한반도","2129","84509","35","true","true","noise-pattern|fixed-2129-lines","(4.27 남북정상회담) 세대 교체가 이루어지는 한반도"
"221217621166","2018-02-27","20180227-미러링을-넘어선-미투운동의-동력","2129","84078","34","true","true","noise-pattern|fixed-2129-lines","미러링을 넘어선 미투운동의 동력"
"221206503743","2018-02-11","20180211-평창-동계-올림픽-개회식-감상","2129","84043","34","true","true","noise-pattern|fixed-2129-lines","평창 동계 올림픽 개회식 감상"
"221196532119","2018-01-30","20180130-코믹스브이-레진-사태-혁신적-해결책-블록체인을-말하다","2075","82003","38","true","false","noise-pattern","(코믹스브이) 레진 사태 혁신적 해결책, 블록체인을 말하다"
"221194474879","2018-01-27","20180127-gvs-가상현실을-영접한-사람들","2129","84478","35","true","true","noise-pattern|fixed-2129-lines","[GVS] 가상현실을 영접한 사람들"
"221175127956","2017-12-31","20171231-2017년-마지막밤","2129","83724","34","true","true","noise-pattern|fixed-2129-lines","2017년 마지막밤"
"221167716627","2017-12-20","20171220-코믹스브이-vr웹툰-2d와-3d사이에서-고민하다","2129","84268","34","true","true","noise-pattern|fixed-2129-lines","[코믹스브이] VR웹툰 2D와 3D사이에서 고민하다"
"221150573982","2017-11-28","20171128-vr-웹툰-추천-한국만화의-힘-붉은말-vr","2129","84522","36","true","true","noise-pattern|fixed-2129-lines","[VR 웹툰 추천] 한국만화의 힘 붉은말 VR"
"221146323466","2017-11-23","20171123-제언-4차산업-혁명을-위해-5g보다-해야-하는-것","2129","84483","36","true","true","noise-pattern|fixed-2129-lines","[제언] 4차산업 혁명을 위해 5g보다 해야 하는 것"
"221120951335","2017-10-19","20171019-vr-웹툰-리뷰-골목길-거닐기-최호철","2129","85372","43","true","true","noise-pattern|fixed-2129-lines","[VR 웹툰 리뷰] 골목길 거닐기 (최호철)"
"221117204698","2017-10-15","20171015-코믹스브이의-지향점-만화-기술-플랫폼-기업","2129","84739","62","true","true","noise-pattern|fixed-2129-lines","코믹스브이의 지향점, 만화 기술 플랫폼 기업"
"221111826797","2017-10-07","20171007-수소차-vs-전기차-전기차언급-때-수소차-얘기-빼라","2129","84286","34","true","true","noise-pattern|fixed-2129-lines","[수소차 vs 전기차] 전기차언급 때 수소차 얘기 빼라"
"221111768008","2017-10-06","20171006-조금-이른-2018년-vrar-시장-예측","2129","84518","37","true","true","noise-pattern|fixed-2129-lines","조금 이른 2018년 VR/AR 시장 예측"
"221111194547","2017-10-05","20171005-기어vr-앱-기어vr로-웹툰도-본다","2129","84374","36","true","true","noise-pattern|fixed-2129-lines","[기어VR 앱] 기어VR로 웹툰도 본다."
"221108254979","2017-09-29","20170929-코믹스브이-디캠프-대표가-다시하는-디데이-질의-응답","2129","84807","36","true","true","noise-pattern|fixed-2129-lines","[코믹스브이 디캠프] 대표가 다시하는 디데이 질의 응답"
"221099128912","2017-09-18","20170918-vr웹툰-플랫폼-코믹스브이-팟캐스트-인터뷰","2129","84178","37","true","true","noise-pattern|fixed-2129-lines","VR웹툰 플랫폼 코믹스브이 팟캐스트 인터뷰"
"221086669253","2017-08-31","20170831-v30-데이드림-앱-vr웹툰-코믹스브이","2129","84332","37","true","true","noise-pattern|fixed-2129-lines","V30 데이드림 앱, VR웹툰 코믹스브이"
"221082337404","2017-08-25","20170825-vr웹툰-코믹스브이-사용-설명서","2129","85320","41","true","true","noise-pattern|fixed-2129-lines","VR웹툰 코믹스브이 사용 설명서"
"221081515972","2017-08-24","20170824-부만축-vr웹툰의-이후-이야기가-궁금한-분들에게","2129","85017","40","true","true","noise-pattern|fixed-2129-lines","부만축 VR웹툰의 이후 이야기가 궁금한 분들에게"
"221067665070","2017-08-05","20170805-코믹스브이-3개월째-항해일지","2129","84126","37","true","true","noise-pattern|fixed-2129-lines","코믹스브이 3개월째 항해일지"
"221048450226","2017-07-10","20170710-vr웹툰-vr-기대-콘텐츠-1위는-게임-만화는","2129","84658","36","true","true","noise-pattern|fixed-2129-lines","[VR웹툰] VR 기대 콘텐츠 1위는 게임? 만화는!"
"221046679215","2017-07-08","20170708-컨퍼런스-소식-vrai-기술에-의한-만화-창작환경의-혁신","2129","84555","35","true","true","noise-pattern|fixed-2129-lines","[컨퍼런스 소식] VR/AI 기술에 의한 만화 창작환경의 혁신"
"221035205484","2017-06-22","20170622-무제한-vr웹툰-코믹스v-홍보영상-공모전","2129","84481","35","true","true","noise-pattern|fixed-2129-lines","무제한! VR웹툰, 코믹스V 홍보영상 공모전"
"221034655416","2017-06-21","20170621-애플구글이-보는-ar-카카오의-기회","2129","84892","37","true","true","noise-pattern|fixed-2129-lines","애플·구글이 보는 AR, 카카오의 기회"
"221031027169","2017-06-16","20170616-특강-소식-vrar기술의-미래와-vr웹툰","2129","84393","36","true","true","noise-pattern|fixed-2129-lines","[특강 소식] VR/AR기술의 미래와 VR웹툰"
"221024886932","2017-06-08","20170608-vr웹툰-스타트업-코믹스브이의-기업가치","2129","84636","38","true","true","noise-pattern|fixed-2129-lines","VR웹툰 스타트업 코믹스브이의 기업가치"
"221018623798","2017-05-31","20170531-본격-vr웹툰-플랫폼-코믹스브이를-알려주세요","2129","84469","37","true","true","noise-pattern|fixed-2129-lines","본격 VR웹툰 플랫폼 코믹스브이를 알려주세요!"
"221013825106","2017-05-25","20170525-코믹스브이-가상현실-웹툰vr웹툰을-말하다","2129","84419","35","true","true","noise-pattern|fixed-2129-lines","[코믹스브이] 가상현실 웹툰(VR웹툰)을 말하다."
"221009187967","2017-05-19","20170519-국민들이-진짜로-원하던것이-이것이었구나","2129","84079","34","true","true","noise-pattern|fixed-2129-lines","국민들이 진짜로 원하던것이 이것이었구나"
"221008541773","2017-05-18","20170518-너무-멀리-돌아온-역사의-길","2129","84011","34","true","true","noise-pattern|fixed-2129-lines","너무 멀리 돌아온 역사의 길"
"221006828014","2017-05-16","20170516-문빠는-문빠로-남아서는-안된다","2129","84055","34","true","true","noise-pattern|fixed-2129-lines","문빠는 문빠로 남아서는 안된다."
"221005694537","2017-05-14","20170514-문재인-대통령-나라다운-나라-시작을-응원합니다","2129","84672","36","true","true","noise-pattern|fixed-2129-lines","문재인 대통령 '나라다운 나라' 시작을 응원합니다."
"220995728522","2017-04-30","20170430-4차산업혁명시대를-맞은-vrar-기술의-의미","2129","86019","44","true","true","noise-pattern|fixed-2129-lines","4차산업혁명시대를 맞은 VR/AR 기술의 의미"
"220986016706","2017-04-18","20170418-4차산업혁명으로-살펴본-대선주자의-자질","2003","78819","36","true","false","noise-pattern","4차산업혁명으로 살펴본 대선주자의 자질"
"220979411823","2017-04-10","20170410-소프트웨어-교육이-나가야-할-방향","2129","84391","35","true","true","noise-pattern|fixed-2129-lines","소프트웨어 교육이 나가야 할 방향"
"220979388279","2017-04-10","20170410-나는-이런-정치를-하는-대한민국을-만들-후보를-지지합니다","2129","84345","34","true","true","noise-pattern|fixed-2129-lines","나는 이런 정치를 하는 대한민국을 만들 후보를 지지합니다."
"220970497856","2017-03-30","20170330-공각기동대-영화-쿠사나기-모토코는-죽었다","2129","84603","40","true","true","noise-pattern|fixed-2129-lines","[공각기동대 영화] 쿠사나기 모토코는 죽었다."
